Contig:MEG_3331xxDrugsxxbetalactamsxxClass_B_betalactamasesxxIMP,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4
142	0:1.00	0:1.00	0:1.00	1:1.00	0:1.00
145	0:1.00	1:1.00	0:1.00	0:1.00	0:0.99
146	0:1.00	0:1.00	1:1.00	0:1.00	0:0.99
189	0:0.99	0:1.00	0:0.99	0:0.99	1:0.99
190	0:1.00	0:1.00	0:1.00	0:0.98	1:0.99
273	0:0.99	0:0.99	0:1.00	0:1.00	1:0.98
314	0:0.99	0:1.00	0:0.99	0:0.99	1:0.99
496	0:0.99	0:1.00	0:0.99	0:0.99	1:0.99
502	0:1.00	1:0.89	1:0.96	1:0.96	1:0.87
640	0:0.99	0:0.99	0:0.99	0:1.00	1:0.95
702	0:0.99	0:0.99	0:1.00	0:0.99	1:0.98
