Contig:MEG_7909xxDrugsxxbetalactamsxxClass_C_betalactamasesxxADC,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11	Haplotype:12
5	1:0.98	1:0.97	0:1.00	1:0.98	1:0.98	1:0.99	1:0.95	1:0.95	1:0.94	0:0.99	1:0.97	1:0.96	0:0.99
53	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.99	0:0.94	0:0.93	0:0.96	0:0.95	0:0.99	0:0.96	0:0.99
71	1:0.98	1:0.99	0:0.99	1:0.99	1:0.99	1:0.99	1:1.00	1:0.99	1:0.99	0:0.99	1:0.99	1:0.99	0:1.00
78	0:0.99	0:1.00	0:0.99	0:0.99	1:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99
117	1:0.97	0:0.99	0:0.99	1:0.97	0:0.99	0:1.00	1:0.95	1:0.96	1:0.95	0:0.99	1:0.96	1:0.98	0:1.00
126	1:0.98	1:0.99	0:1.00	1:0.99	1:0.99	0:1.00	1:0.99	1:0.99	1:0.99	0:0.99	1:0.99	1:0.96	1:1.00
147	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	1:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.98
150	1:0.96	0:1.00	0:0.99	1:0.98	0:0.99	1:0.98	1:0.98	1:0.99	1:0.96	0:0.99	1:0.98	1:0.97	1:0.98
166	0:0.99	1:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00
232	0:1.00	1:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00
238	0:0.99	0:1.00	0:0.99	0:1.00	1:0.98	0:1.00	0:0.98	0:0.99	0:0.98	0:0.97	0:0.99	0:0.99	0:0.98
246	0:0.99	0:1.00	0:1.00	0:1.00	1:0.99	1:0.99	0:0.98	0:1.00	0:0.98	0:0.98	0:0.99	0:0.98	1:0.98
267	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	1:0.99
337	1:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99
345	1:0.97	0:0.99	0:1.00	1:0.97	0:0.99	0:0.99	1:0.93	0:0.98	1:0.95	0:0.98	1:0.96	1:0.93	0:1.00
356	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	1:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00
357	1:0.98	1:0.99	0:1.00	1:0.99	1:0.99	0:1.00	1:0.98	0:0.99	1:0.99	0:0.99	1:0.98	1:0.97	0:0.99
366	0:1.00	1:0.98	0:0.99	0:0.99	1:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99
378	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00
415	0:1.00	0:0.99	0:0.98	0:0.99	0:0.99	1:0.98	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00
417	0:1.00	0:0.99	0:0.98	0:1.00	0:1.00	1:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00
423	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:0.97	0:0.98	0:0.99	0:0.99	0:0.98	0:0.99	0:1.00	0:1.00
426	0:0.98	0:0.99	0:0.99	0:0.98	0:0.99	1:0.96	0:0.99	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99
429	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	1:0.99	0:0.95	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00
430	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.95	1:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99
432	1:0.99	0:1.00	0:0.99	1:0.98	0:1.00	1:0.98	1:0.98	0:0.97	1:1.00	0:0.99	1:0.98	1:1.00	0:0.99
435	1:0.98	1:0.96	0:0.99	1:0.96	1:0.97	1:0.97	1:0.96	0:0.98	1:0.96	0:0.98	1:0.96	1:0.95	1:1.00
448	1:0.99	0:0.99	0:1.00	1:0.98	0:1.00	0:1.00	1:0.99	0:0.98	1:0.99	0:0.97	1:0.99	1:0.99	0:0.99
456	0:0.99	1:0.99	0:0.99	0:1.00	1:0.98	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	1:0.98
459	1:0.97	0:1.00	0:1.00	1:0.95	0:0.99	0:1.00	1:0.96	0:0.99	1:0.97	0:0.99	1:0.96	1:0.95	0:0.99
471	1:0.91	0:0.99	0:1.00	1:0.93	0:0.99	0:0.98	1:0.92	0:0.99	1:0.93	0:0.99	1:0.93	1:0.90	0:1.00
477	1:0.98	0:0.99	0:1.00	1:0.98	0:0.98	0:0.99	1:0.97	0:0.98	1:0.97	0:0.97	1:0.98	1:0.98	0:0.98
487	0:1.00	0:0.99	0:0.99	0:0.99	1:0.96	1:0.98	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
492	0:1.00	1:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.98	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99
499	1:0.98	0:1.00	0:0.99	1:0.95	0:1.00	0:0.99	1:0.97	0:0.98	1:0.97	0:1.00	1:0.97	1:0.96	0:0.99
513	1:0.92	0:0.99	0:1.00	1:0.92	0:0.99	0:0.99	1:0.97	0:0.98	1:0.96	0:0.99	1:0.92	1:0.93	0:0.99
514	1:0.99	0:1.00	0:0.99	1:0.98	0:0.99	0:1.00	1:0.98	0:1.00	1:0.98	0:0.99	1:0.99	1:0.97	0:0.99
528	1:1.00	0:1.00	0:0.98	1:0.98	0:0.99	0:1.00	1:0.99	0:0.99	1:0.99	0:1.00	1:0.98	1:0.99	0:0.99
534	1:0.99	0:1.00	0:1.00	1:0.98	0:1.00	0:1.00	1:0.99	0:1.00	1:0.99	0:0.99	1:0.99	1:0.97	0:0.99
540	1:0.99	0:0.99	0:0.99	1:0.99	0:0.99	0:1.00	1:1.00	0:1.00	1:1.00	0:1.00	1:0.99	1:1.00	0:1.00
541	1:0.98	0:1.00	0:0.99	1:1.00	0:0.99	0:0.99	1:0.99	0:0.97	1:0.99	0:0.98	1:0.99	1:1.00	0:1.00
547	0:1.00	0:0.99	0:0.99	0:0.99	1:0.98	0:1.00	1:0.98	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99
552	1:0.98	0:0.99	0:0.99	1:0.98	0:0.99	0:0.99	1:0.98	0:0.99	1:1.00	0:0.99	1:0.98	1:0.99	0:0.99
558	0:1.00	0:0.99	0:0.99	0:0.99	1:0.98	1:0.99	0:0.99	0:0.96	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00
591	1:0.99	1:0.99	0:1.00	1:0.98	1:0.98	1:0.98	1:0.98	0:0.99	1:0.97	0:0.99	1:0.98	1:0.96	1:0.98
657	1:0.97	1:0.95	0:1.00	1:0.97	1:0.97	1:0.96	1:0.95	0:1.00	1:0.94	0:0.99	1:0.97	1:0.96	0:0.99
671	0:0.99	0:0.99	0:1.00	0:1.00	0:0.98	0:0.99	0:1.00	0:0.99	1:0.99	0:1.00	0:1.00	0:1.00	0:0.99
672	0:0.99	0:0.99	0:1.00	0:0.99	1:0.97	0:1.00	0:0.99	0:1.00	0:0.92	0:1.00	0:0.99	0:0.99	0:0.99
