Contig:MEG_4362xxMultixxcompoundxxDrug_and_biocide_resistancexxDrug_and_biocide_RND_efflux_pumpsxxOQXB,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11	Haplotype:12	Haplotype:13
90	1:0.95	0:1.00	0:0.98	1:0.99	1:0.99	1:1.00	1:0.98	0:1.00	1:0.98	0:1.00	1:0.97	0:0.99	1:0.98	-
117	0:1.00	0:1.00	0:0.98	0:0.99	0:0.99	0:0.99	1:0.98	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	-
150	0:1.00	0:1.00	0:0.98	0:0.98	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.96	0:1.00	1:0.98	-
291	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	1:0.98	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	-
294	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	1:0.98	0:0.98	0:1.00	0:0.99	-
336	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	1:0.98	0:1.00	0:0.99	0:0.99	-
348	0:1.00	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	1:0.95	0:1.00	0:1.00	0:0.98	0:0.99	0:1.00	-
357	0:0.99	1:0.99	0:1.00	0:1.00	0:1.00	0:0.64	0:0.99	0:1.00	1:0.99	0:1.00	0:1.00	0:1.00	0:1.00	-
384	0:0.99	0:0.99	0:1.00	0:0.98	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	1:0.94	0:0.98	0:1.00	0:0.99	-
399	0:0.99	0:0.99	0:0.98	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	1:0.97	0:0.99	0:0.99	0:1.00	-
435	1:0.95	0:0.99	0:0.97	1:0.89	1:0.98	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	1:0.93	0:0.99	0:0.99	-
438	1:0.97	0:0.99	0:0.99	1:0.97	1:0.98	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	1:0.96	0:0.99	0:0.99	-
441	1:0.99	0:0.99	0:0.99	1:0.99	1:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	1:0.99	0:0.99	0:1.00	-
442	1:0.99	0:1.00	0:0.99	1:0.99	1:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	1:1.00	0:0.99	0:1.00	-
443	1:1.00	0:0.99	0:1.00	1:0.99	1:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	1:0.99	0:1.00	0:1.00	-
447	0:0.99	1:0.97	0:0.99	0:0.99	0:1.00	1:0.99	1:0.96	1:0.96	1:0.94	1:0.95	0:0.99	0:1.00	0:0.99	-
522	0:0.99	1:0.99	0:1.00	0:0.95	0:1.00	0:0.99	0:0.99	0:1.00	0:0.98	0:0.99	0:0.95	0:1.00	0:1.00	-
552	0:0.99	1:0.96	0:1.00	0:0.97	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.98	0:1.00	0:0.99	-
591	0:0.99	0:0.99	0:1.00	1:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	1:0.99	0:0.99	0:1.00	0:1.00
609	1:0.97	1:0.98	0:1.00	1:0.98	1:0.98	1:1.00	0:0.99	1:0.98	1:0.99	1:0.97	1:0.98	0:0.99	1:0.98	0:1.00
669	1:0.97	1:0.99	1:0.99	1:0.95	1:0.99	1:0.99	1:0.99	1:0.98	1:0.99	1:0.99	1:0.97	0:1.00	1:0.99	0:1.00
723	0:1.00	1:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00
789	0:1.00	0:0.99	0:1.00	0:0.99	1:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00
795	0:1.00	0:1.00	0:1.00	0:0.99	1:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00
807	0:0.99	0:1.00	0:0.99	1:0.97	0:0.99	0:0.98	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00
828	0:1.00	0:1.00	1:0.99	0:0.99	0:1.00	1:1.00	0:1.00	1:0.99	1:0.99	1:0.99	0:0.99	0:0.99	0:1.00	0:1.00
870	0:0.98	0:0.99	0:1.00	0:0.94	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	1:0.99	0:0.94	0:0.99	0:1.00	0:1.00
891	0:0.99	1:0.98	1:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.50
921	1:0.99	1:0.98	1:0.96	1:0.97	1:0.99	0:1.00	1:0.98	1:0.98	1:1.00	1:0.99	1:0.95	0:1.00	1:0.99	0:1.00
946	0:0.99	0:0.99	0:0.99	1:0.97	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00
1041	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	1:0.99	1:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00
1114	1:0.98	1:0.98	0:1.00	0:1.00	1:0.97	0:1.00	1:0.98	1:0.98	0:1.00	1:0.99	0:0.99	0:1.00	1:0.98	1:0.66
1122	0:1.00	0:0.99	0:0.51	1:0.99	0:1.00	0:0.62	1:0.97	1:0.99	1:0.97	0:1.00	1:0.99	0:1.00	0:1.00	0:1.00
1212	1:0.99	0:0.99	0:0.99	0:0.98	1:0.99	0:0.99	1:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00
1215	1:0.99	0:0.99	0:1.00	0:0.97	1:0.99	0:0.99	1:0.99	0:1.00	0:0.99	0:1.00	0:0.97	0:0.99	0:0.99	0:1.00
1284	1:0.99	0:1.00	0:1.00	0:0.98	1:0.98	0:1.00	1:0.98	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00
1308	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	1:0.98	0:0.99	0:0.99	0:0.99	0:1.00
1342	1:0.98	1:0.99	1:0.99	1:0.95	1:0.99	1:0.99	1:0.99	1:0.98	1:0.98	1:0.99	1:0.99	1:0.76	1:0.98	0:0.53
1362	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	1:0.99	0:0.99	0:1.00	0:0.99	0:1.00
1398	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	1:0.98	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00
1503	1:0.98	0:0.99	0:0.99	0:1.00	1:0.98	1:0.99	0:0.99	1:0.98	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
1508	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.98	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	1:0.97	0:1.00
1545	1:0.99	0:1.00	1:0.98	0:1.00	1:0.98	1:0.96	1:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	1:0.98	0:1.00
1611	1:0.98	0:1.00	1:0.98	0:0.99	1:0.99	0:0.99	1:0.98	1:0.99	0:1.00	0:1.00	0:1.00	0:0.99	1:0.98	0:1.00
1617	1:0.94	0:0.99	1:0.90	0:1.00	1:0.92	0:0.99	1:0.91	1:0.93	0:0.99	0:1.00	0:0.99	0:0.99	1:0.92	0:1.00
1618	1:0.95	0:0.99	1:0.89	0:0.99	1:0.92	0:1.00	1:0.91	1:0.91	0:0.99	0:1.00	0:0.99	0:0.99	1:0.91	0:1.00
