Contig:MEG_4529xxDrugsxxbetalactamsxxClass_D_betalactamasesxxOXA,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3
6	1:0.98	1:0.98	0:0.99	1:1.00
15	0:1.00	1:0.99	0:0.99	0:1.00
54	1:0.98	0:1.00	0:0.99	0:0.99
73	0:1.00	0:0.99	0:0.99	1:0.99
106	1:0.96	1:0.96	0:0.99	1:0.95
107	0:0.92	0:0.91	0:0.99	0:0.87
159	0:0.99	1:0.98	0:1.00	0:0.99
163	1:0.97	1:0.97	0:1.00	1:0.96
176	1:0.99	1:0.98	0:0.99	1:0.99
306	0:1.00	1:0.96	0:0.99	0:0.99
315	1:0.99	0:1.00	0:1.00	1:0.97
316	0:0.73	0:0.99	0:1.00	0:0.70
318	1:0.96	0:0.99	0:1.00	1:0.97
319	1:0.83	0:0.98	0:0.98	1:0.82
328	0:0.99	0:0.99	0:0.99	1:0.99
349	1:0.95	0:0.99	0:1.00	0:0.98
366	1:0.99	0:1.00	0:1.00	1:0.98
369	0:1.00	0:0.99	0:1.00	1:0.99
390	0:1.00	0:1.00	0:1.00	1:0.98
420	0:0.99	1:0.98	0:1.00	0:1.00
426	0:0.99	0:1.00	0:1.00	1:0.96
438	1:0.98	0:0.99	0:0.99	0:1.00
466	0:1.00	0:1.00	0:1.00	1:0.99
522	1:0.99	1:0.98	0:1.00	1:0.99
528	0:0.99	1:0.98	0:0.99	0:0.99
540	1:0.97	0:0.99	0:0.99	1:0.97
610	0:1.00	1:0.98	0:0.99	1:0.93
673	0:0.99	1:0.98	0:0.99	0:0.95
720	0:0.99	1:0.98	0:0.99	1:0.94
732	1:0.98	0:0.99	0:1.00	0:0.98
762	1:0.98	1:0.97	0:1.00	1:0.99
766	0:0.99	1:0.97	0:1.00	0:0.99
797	0:0.99	1:0.97	0:0.99	0:0.99
801	1:0.98	1:0.99	0:1.00	1:0.99
809	1:0.98	1:0.99	0:1.00	1:1.00
