Contig:MEG_6419xxDrugsxxbetalactamsxxClass_A_betalactamasesxxSHV,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9
40	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	1:0.98	0:1.00
60	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	1:0.95	0:1.00
111	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	1:1.00	0:0.99	0:1.00
122	0:0.99	0:1.00	1:0.99	1:0.99	0:0.99	0:0.99	1:0.99	0:1.00	0:0.99	0:1.00
170	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	1:0.91	0:1.00	0:0.99	0:1.00
196	0:1.00	1:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.98	0:0.99
352	0:0.99	0:1.00	0:1.00	0:0.99	0:0.98	1:0.96	0:0.99	0:0.99	0:1.00	0:0.99
354	0:1.00	0:1.00	1:0.99	1:0.99	0:0.99	1:0.97	0:1.00	1:0.99	1:0.97	1:0.99
387	0:0.98	0:1.00	0:0.99	0:0.99	0:0.99	1:0.97	0:0.98	0:0.99	1:0.98	0:0.98
432	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	1:0.98	0:1.00	1:0.98
455	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	1:0.96	0:0.99	0:1.00	1:0.99	0:1.00
478	0:0.99	0:1.00	1:0.90	0:0.98	0:0.98	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99
676	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.98	0:1.00
730	0:1.00	1:0.97	1:0.99	0:0.99	0:0.99	0:1.00	0:1.00	1:0.98	0:0.99	1:0.81
733	0:0.97	0:0.99	1:0.97	0:0.97	0:0.98	0:0.96	0:0.98	1:0.98	0:0.99	1:0.96
735	1:0.98	1:0.96	1:0.94	0:1.00	0:1.00	0:1.00	1:0.97	1:0.95	0:0.99	1:0.94
750	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	1:0.97	0:0.99	0:0.99	0:0.98
772	1:0.99	1:0.99	1:0.98	1:0.99	0:1.00	1:0.98	1:0.98	1:0.99	1:0.99	1:0.98
816	0:0.99	0:0.99	1:0.95	1:0.94	0:0.99	1:0.96	1:0.94	0:0.99	1:0.96	0:1.00
835	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.99	0:1.00
