Contig:MEG_1496xxDrugsxxbetalactamsxxClass_A_betalactamasesxxCARB,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10
23	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	1:0.98	0:0.99	0:1.00	0:1.00	0:1.00
38	1:0.98	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00
57	0:0.99	0:0.98	0:0.98	0:0.99	0:0.99	0:1.00	0:0.98	1:0.96	0:0.99	0:0.99	0:1.00
71	1:0.99	1:0.98	1:0.98	1:0.97	1:0.99	1:0.99	1:0.98	1:0.99	1:0.99	1:0.97	0:1.00
78	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	1:0.98	0:0.99	0:1.00	0:0.99	0:0.99
137	0:1.00	0:1.00	0:0.99	0:0.98	0:1.00	0:0.97	0:0.98	1:0.98	0:1.00	0:1.00	0:1.00
192	1:0.99	0:0.99	0:0.99	0:0.98	0:1.00	1:0.97	0:0.98	0:0.99	0:0.99	0:0.99	0:0.98
225	0:0.99	0:1.00	0:0.99	0:0.98	0:0.99	0:0.99	1:0.99	0:1.00	0:0.99	0:1.00	0:1.00
231	0:0.99	1:0.99	0:1.00	0:0.99	0:1.00	0:0.97	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99
255	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.97	0:1.00	0:1.00	0:1.00	0:1.00
263	0:0.99	0:1.00	0:0.99	1:0.92	1:0.96	0:1.00	0:0.99	1:0.93	0:1.00	0:1.00	0:0.99
274	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.98	0:0.99	0:1.00	0:1.00	1:0.99	0:1.00
315	1:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99
327	0:0.99	0:0.99	0:0.99	1:0.96	0:1.00	0:0.97	0:0.97	1:0.97	0:1.00	0:1.00	0:0.98
330	1:0.98	1:0.98	0:0.99	1:0.98	1:0.99	1:1.00	1:0.98	1:0.98	1:0.99	0:1.00	0:1.00
331	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:0.99	0:1.00	0:1.00
348	0:1.00	0:0.99	1:0.94	0:0.99	0:0.99	1:0.95	1:0.95	0:0.99	1:0.96	0:0.99	0:1.00
351	0:0.99	0:0.99	0:0.98	0:0.97	0:0.99	0:0.99	0:0.98	0:0.99	1:0.97	0:1.00	0:1.00
381	0:0.99	0:0.99	0:1.00	1:0.97	0:1.00	0:0.96	0:0.96	1:0.98	0:1.00	0:0.99	0:1.00
423	1:0.99	1:0.99	0:1.00	0:0.99	1:0.98	1:0.97	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00
435	1:0.99	1:0.98	0:0.99	1:0.99	1:0.99	1:0.99	0:1.00	1:0.98	0:1.00	0:0.99	0:0.99
459	0:1.00	0:1.00	0:0.99	1:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99
474	1:0.97	1:0.96	0:0.99	1:0.96	0:0.99	1:0.99	0:1.00	1:0.96	0:0.99	0:0.99	0:1.00
478	1:0.97	1:0.96	0:0.99	1:0.96	1:0.98	1:0.93	1:0.96	1:0.97	1:0.97	1:0.98	0:0.99
486	0:0.99	0:0.99	0:1.00	1:0.98	0:1.00	0:0.99	0:0.98	1:0.98	0:1.00	0:0.99	0:0.99
504	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	1:1.00	0:1.00	1:0.99	0:1.00	0:0.99
513	0:1.00	0:0.99	0:0.99	0:0.99	1:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00
516	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	1:0.96	0:0.99
549	1:0.98	0:0.99	0:0.99	0:0.99	1:0.99	0:1.00	1:0.99	0:0.99	1:0.99	0:1.00	0:0.99
568	0:1.00	1:0.99	0:0.99	0:0.97	0:0.99	0:0.99	0:0.97	0:0.98	0:1.00	0:1.00	0:1.00
615	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.99	0:0.99	0:0.99	0:0.99	0:1.00
633	1:0.99	0:0.99	1:0.96	0:1.00	1:0.98	0:1.00	0:0.99	0:0.99	0:0.99	1:0.98	0:1.00
642	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.98	0:0.99	0:0.99	0:1.00	1:0.99	0:1.00
645	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	1:0.96	0:0.99	0:1.00	0:1.00	0:1.00
651	0:0.99	0:1.00	1:0.99	0:0.99	1:0.99	0:1.00	1:0.98	1:0.98	0:0.99	0:0.99	0:0.99
723	0:1.00	0:0.99	0:0.99	1:0.98	0:0.99	1:1.00	0:0.93	1:0.98	0:0.99	0:0.99	0:1.00
744	0:1.00	0:1.00	1:0.98	1:0.97	0:1.00	0:0.98	0:0.98	0:0.98	0:1.00	0:1.00	0:0.99
771	0:1.00	0:0.99	0:0.99	1:0.99	0:0.99	0:0.98	0:1.00	1:0.99	0:1.00	0:0.99	0:0.99
774	1:0.99	0:1.00	0:0.99	0:0.98	1:0.99	0:0.98	1:0.97	0:0.99	1:0.99	1:0.99	0:1.00
801	1:0.98	1:0.99	0:0.99	1:0.99	1:0.98	1:0.99	1:0.99	1:0.99	1:0.99	1:0.99	0:0.99
