Contig:NC_001802.1,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7
256	1:0.93	0:0.92	1:0.92	0:0.95	1:0.91	1:0.88	1:0.88	0:1.00
302	1:0.61	0:0.92	0:0.56	0:0.96	1:0.65	0:0.55	0:0.57	0:0.81
393	0:0.92	1:0.94	0:0.96	1:0.96	0:1.00	0:0.89	0:0.95	1:1.00
456	1:0.90	0:0.95	1:0.92	0:0.94	1:0.93	1:0.88	1:0.93	0:1.00
499	1:0.91	0:0.95	1:0.93	0:0.96	1:1.00	1:0.86	1:0.89	0:1.00
534	1:0.92	2:0.93	1:0.95	2:0.95	1:0.93	1:0.88	1:0.92	2:1.00
590	1:0.87	0:0.96	1:0.86	0:0.97	1:0.94	1:0.83	1:0.84	0:1.00
615	1:0.94	1:0.90	1:0.88	1:0.87	1:0.93	1:0.88	1:0.86	1:0.94
665	1:0.76	0:0.96	1:0.82	0:0.96	1:0.92	1:0.77	1:0.73	0:1.00
691	0:0.99	2:0.52	0:0.93	2:0.52	0:1.00	0:0.96	0:0.98	2:0.60
722	0:0.92	1:0.94	0:0.88	1:0.95	0:0.94	0:0.88	0:0.92	1:1.00
773	1:0.88	0:0.94	1:0.90	0:0.95	1:0.89	1:0.84	1:0.86	0:1.00
866	1:0.81	0:0.96	1:0.74	0:1.00	1:0.73	1:0.69	1:0.65	0:1.00
956	1:0.96	1:0.97	1:0.98	1:0.98	1:1.00	1:0.99	1:0.98	1:1.00
994	1:0.94	0:0.95	1:0.93	0:0.95	1:0.95	1:0.89	1:0.93	0:1.00
1136	0:0.97	1:0.93	0:0.98	1:0.97	0:0.96	0:0.92	0:0.95	1:0.97
1229	1:0.97	0:0.95	1:0.96	0:0.98	1:0.96	1:0.92	1:0.95	0:1.00
1274	1:0.89	0:0.95	1:0.78	0:0.96	1:0.95	1:0.88	1:0.92	0:1.00
1329	1:0.95	0:0.96	1:0.97	0:0.97	1:0.96	1:0.90	1:0.94	0:1.00
1394	1:0.94	1:0.96	1:0.93	1:0.93	1:0.96	1:0.96	1:0.92	1:0.97
1438	0:0.97	1:0.92	0:0.96	1:0.95	0:0.96	0:0.93	0:0.95	1:0.95
1491	0:0.95	1:0.93	0:0.96	1:0.93	0:0.95	0:0.91	0:0.93	1:0.95
1550	1:0.93	0:0.94	1:0.91	0:0.92	1:0.97	1:0.87	1:0.90	0:0.95
1646	1:0.91	0:0.95	1:0.89	0:0.98	1:0.98	1:0.87	1:0.92	0:0.97
1733	1:1.00	0:0.97	1:1.00	0:0.95	0:0.84	0:1.00	0:1.00	0:0.95
1778	1:0.96	0:0.95	1:0.95	0:0.98	1:1.00	1:0.85	1:0.89	0:1.00
1834	0:0.98	1:0.97	0:0.98	1:0.97	0:1.00	0:0.93	0:0.93	1:0.96
1987	1:0.95	0:0.95	1:1.00	0:1.00	1:1.00	1:0.92	1:0.91	0:1.00
2075	1:0.97	1:0.99	1:0.97	1:0.96	1:0.92	1:0.97	1:0.96	1:0.96
2131	0:0.97	1:0.92	0:0.97	1:0.93	0:1.00	0:0.94	0:0.95	1:1.00
2215	1:0.99	1:0.99	1:1.00	1:1.00	1:1.00	1:0.99	1:0.99	1:0.95
2293	1:0.93	0:0.96	1:0.89	0:0.96	1:0.94	1:0.89	1:0.90	0:0.95
2356	1:0.99	1:0.99	1:0.98	1:1.00	1:1.00	1:0.98	1:0.98	1:0.98
2518	1:0.93	0:0.97	1:0.95	0:0.98	1:0.96	1:0.94	1:0.90	0:0.95
2592	0:0.96	1:0.96	0:0.98	1:0.96	0:0.96	0:0.97	0:0.95	1:1.00
2671	1:1.00	1:0.99	1:1.00	1:1.00	1:1.00	1:0.99	1:1.00	1:1.00
2735	1:0.98	1:0.98	1:1.00	1:1.00	1:0.96	1:0.99	1:0.99	1:1.00
