Contig:MEG_4675xxDrugsxxbetalactamsxxClass_D_betalactamasesxxOXA,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8
29	1:0.94	0:1.00	1:0.93	0:0.99	0:1.00	0:1.00	1:0.95	0:1.00	0:1.00
30	1:0.96	0:0.96	1:0.95	0:1.00	0:0.97	0:0.98	1:0.96	0:0.99	0:0.97
42	1:0.97	0:0.98	1:0.96	1:0.96	0:0.98	0:0.98	1:0.95	0:1.00	0:0.97
58	1:0.98	0:0.99	1:0.97	0:0.99	0:0.99	0:0.99	1:0.98	0:1.00	0:1.00
120	1:1.00	0:0.97	1:0.98	0:0.99	0:0.97	0:0.99	1:0.99	0:0.99	0:0.98
163	1:0.99	0:0.98	1:0.99	0:0.99	0:0.98	0:0.97	1:0.99	0:0.99	0:0.99
197	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	1:1.00	0:1.00	0:1.00	0:0.99
218	0:1.00	0:0.99	1:1.00	0:0.99	1:1.00	1:0.95	0:1.00	0:1.00	0:1.00
250	0:0.99	1:0.89	0:0.99	0:0.99	0:0.98	0:1.00	0:0.99	0:1.00	0:0.99
300	1:0.99	0:0.99	1:1.00	0:0.99	0:0.99	0:0.99	1:0.99	0:0.99	0:0.99
320	1:1.00	0:1.00	1:0.99	0:1.00	0:0.99	0:1.00	1:0.98	0:1.00	0:1.00
348	1:0.99	0:1.00	1:1.00	0:0.99	0:0.99	0:1.00	1:0.98	0:1.00	0:1.00
349	0:0.99	0:1.00	0:1.00	1:0.94	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00
370	0:0.99	0:0.99	0:0.99	0:0.99	0:0.98	0:0.98	0:0.99	0:1.00	1:0.95
420	1:0.97	0:1.00	1:0.97	0:0.99	0:0.99	0:1.00	1:0.96	0:0.99	0:1.00
426	1:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99
462	1:0.98	1:0.94	1:0.99	1:0.94	1:0.96	1:0.96	1:0.99	1:0.50	1:0.95
466	0:0.98	1:0.93	0:0.98	0:0.98	0:0.98	0:0.98	0:0.98	0:0.98	0:0.97
468	1:0.92	0:0.99	1:0.89	0:0.99	0:0.99	0:0.99	1:0.89	0:0.99	0:1.00
469	0:1.00	0:0.97	0:0.99	0:0.99	0:1.00	0:0.99	0:0.98	0:0.60	0:0.96
470	0:1.00	0:1.00	1:0.68	0:0.99	0:1.00	0:1.00	1:0.93	0:0.99	1:0.95
471	1:0.98	0:1.00	1:0.98	0:0.99	0:1.00	0:1.00	1:0.99	0:0.99	0:1.00
477	0:0.98	0:0.98	1:0.90	0:0.99	0:0.99	0:0.97	1:0.90	0:0.99	0:0.99
521	1:0.97	0:0.99	1:0.98	0:0.99	0:0.99	0:0.99	1:0.96	0:0.99	0:0.99
543	1:0.98	0:0.98	1:0.99	0:0.99	0:0.99	0:0.99	1:0.99	0:1.00	0:0.99
552	1:1.00	0:1.00	1:0.99	0:0.99	0:0.99	0:1.00	1:0.98	0:1.00	0:1.00
588	0:0.96	0:0.99	1:0.99	0:1.00	0:0.99	0:1.00	1:0.98	0:1.00	0:0.99
591	0:1.00	0:0.98	1:0.98	0:1.00	0:0.99	0:0.98	1:0.98	0:0.99	0:0.99
603	1:0.99	0:0.99	1:0.99	0:1.00	0:1.00	0:0.99	1:0.99	0:0.99	0:1.00
672	1:0.98	0:0.99	1:0.97	0:0.99	0:0.99	0:0.99	1:0.97	0:0.98	0:0.98
686	1:0.79	0:0.99	1:0.85	0:0.99	0:1.00	0:0.99	1:0.83	0:0.99	0:0.99
687	1:0.69	0:0.98	1:0.90	0:1.00	0:0.98	0:0.97	1:0.93	0:0.99	0:0.98
734	1:0.98	0:0.97	1:0.99	0:1.00	0:0.98	0:0.98	1:0.98	0:0.99	0:0.98
776	1:0.99	0:0.99	1:0.98	0:1.00	0:0.99	0:1.00	1:0.98	0:1.00	0:1.00
