Contig:MEG_4395xxDrugsxxbetalactamsxxClass_D_betalactamasesxxOXA,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9
89	0:0.99	0:1.00	0:1.00	1:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00
148	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	1:1.00	0:0.99
169	0:0.99	0:1.00	0:1.00	0:1.00	0:0.98	0:1.00	1:1.00	0:1.00	0:0.99	0:0.99
260	0:0.99	0:1.00	0:0.98	0:1.00	0:0.99	0:0.99	0:0.97	1:1.00	0:0.98	1:0.95
346	1:0.85	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99
385	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	1:1.00	0:0.99	0:1.00	0:1.00	0:1.00
461	0:0.99	0:1.00	1:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00
528	0:0.98	0:1.00	0:0.99	0:0.97	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	1:1.00
551	0:0.99	0:1.00	0:1.00	0:1.00	1:1.00	0:1.00	0:1.00	0:1.00	1:0.98	0:1.00
665	1:0.97	0:1.00	1:0.97	1:0.98	1:0.97	1:0.96	1:0.96	1:0.95	1:0.97	1:0.96
666	0:0.95	0:0.98	0:0.95	0:0.95	0:0.94	0:0.95	0:0.94	0:0.95	0:0.95	0:0.92
