Contig:MEG_7178|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11	Haplotype:12	Haplotype:13	Haplotype:14
	81	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	1:0.99	0:1.00	0:1.00	0:0.99	0:0.96	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99
	102	0:0.99	0:0.99	0:0.99	0:0.93	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	1:0.94	0:0.99	0:1.00	0:0.99	0:1.00
	105	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	1:0.98	0:0.99	0:1.00	0:0.99	0:0.95	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99
	129	0:0.73	1:0.96	1:0.72	1:0.91	1:0.95	0:0.99	1:0.99	1:0.94	1:0.92	1:0.83	0:0.96	1:0.98	1:0.94	1:0.97	1:0.88
	165	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.94	0:1.00	0:1.00	0:1.00	0:0.99
	168	0:0.99	0:0.97	0:0.83	0:0.95	0:0.96	0:0.99	0:0.99	0:0.93	0:0.99	0:0.88	0:1.00	0:0.98	0:0.96	0:0.97	0:0.93
	198	0:0.57	1:0.98	1:0.92	1:0.99	1:0.96	1:0.99	1:1.00	1:0.98	1:0.99	1:1.00	1:0.99	1:0.99	1:1.00	1:0.99	1:0.98
	199	0:0.98	0:0.91	0:0.95	0:0.95	0:0.92	0:0.92	0:0.94	0:0.97	0:0.95	0:0.93	0:0.96	0:0.95	0:0.96	0:0.94	0:0.95
	201	0:0.58	1:0.95	1:0.89	1:0.98	1:0.92	0:0.97	1:0.97	1:0.95	1:0.96	1:0.97	1:0.98	1:0.98	1:0.98	1:0.99	1:0.94
	288	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	1:0.97	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00
	318	0:1.00	0:0.99	0:0.98	0:0.99	0:0.99	1:0.97	0:1.00	0:0.99	0:0.99	0:0.95	0:0.98	0:1.00	0:0.98	0:0.99	0:0.99
	341	0:0.85	1:0.93	1:0.66	1:0.95	1:0.95	0:1.00	1:0.97	1:0.91	1:0.94	1:0.76	0:0.95	1:0.97	1:0.93	1:0.94	1:0.90
	351	0:0.86	1:0.97	1:0.84	1:0.98	1:0.96	0:0.71	1:0.99	1:0.98	1:0.97	1:0.89	0:0.95	1:0.99	1:0.97	1:0.98	1:0.94
	354	0:0.99	0:0.99	0:0.90	0:0.98	0:1.00	0:0.99	0:0.98	0:0.94	0:0.97	0:0.89	0:1.00	0:0.99	0:0.98	0:0.96	0:0.96
	387	0:1.00	0:1.00	0:0.84	0:0.98	0:0.99	0:0.98	0:0.99	0:0.96	0:0.98	0:0.83	1:0.99	0:0.99	0:0.96	0:0.96	0:0.92
	424	0:0.91	1:0.95	0:0.69	1:0.86	1:0.90	0:1.00	1:0.98	1:0.93	1:0.94	1:0.74	0:0.99	1:0.98	1:0.92	1:0.91	1:0.92
	436	0:1.00	0:0.99	0:0.96	0:0.99	0:0.97	1:0.95	0:1.00	0:0.99	0:0.99	0:0.91	0:1.00	0:1.00	0:0.97	0:0.99	0:1.00
	437	0:0.96	0:0.97	0:0.98	0:0.97	0:0.97	0:0.55	0:0.97	0:0.97	0:0.96	0:0.97	0:0.97	0:0.97	0:0.97	0:0.96	0:0.98
	447	0:0.99	0:0.98	1:0.51	0:0.87	0:0.97	1:1.00	0:1.00	0:0.95	0:0.96	0:0.80	0:0.99	0:0.99	0:0.96	0:0.94	0:0.98
	461	0:0.90	1:0.95	1:0.86	1:0.99	1:0.94	0:0.99	1:0.98	1:0.99	1:0.98	1:0.93	1:0.99	1:0.98	1:0.98	1:0.96	1:0.98
	485	0:1.00	0:0.99	0:0.53	0:0.90	0:1.00	0:1.00	0:1.00	0:0.95	0:0.97	0:0.90	0:1.00	0:1.00	0:0.98	0:0.92	0:0.93
	489	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.95	0:1.00	0:0.98	0:1.00	0:1.00
	495	0:0.94	1:0.96	1:0.85	1:0.98	1:0.86	1:0.99	1:0.98	1:0.99	1:0.99	1:0.97	1:0.99	1:0.98	1:0.99	1:0.99	1:0.99
	496	0:0.99	0:1.00	0:0.64	0:0.98	0:1.00	0:1.00	0:1.00	0:0.96	0:0.97	0:0.91	0:1.00	0:1.00	0:0.98	0:0.93	0:0.93
	497	0:0.99	0:0.94	0:0.98	0:0.97	0:0.95	0:0.97	0:0.94	0:0.96	0:0.95	0:0.96	0:0.96	0:0.96	0:0.96	0:0.98	0:0.94
	506	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.96	0:1.00	0:1.00	0:0.99	0:0.85	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99
	544	0:0.93	1:0.96	1:0.87	1:0.99	1:0.87	1:0.99	1:0.99	1:0.99	1:0.98	1:0.97	0:0.98	1:0.98	1:0.96	1:0.97	1:0.99
	546	0:0.99	0:0.93	0:0.96	0:0.98	0:0.97	0:0.98	0:0.98	0:0.98	0:0.97	0:0.98	0:1.00	0:0.98	0:0.97	0:0.97	0:0.97
	556	0:0.93	1:0.94	1:0.63	1:0.96	1:0.84	1:0.98	1:0.97	1:0.92	1:0.93	1:0.85	0:0.98	1:0.97	1:0.92	1:0.93	1:0.93
	558	0:0.94	1:0.95	1:0.87	1:0.87	1:0.86	1:0.99	1:0.98	1:0.99	1:0.96	1:0.97	1:0.99	1:0.98	1:0.98	1:0.97	1:0.99
	564	0:0.94	1:0.96	1:0.87	1:0.97	1:0.94	0:0.99	1:0.98	1:0.99	1:0.98	1:0.92	1:0.98	1:0.98	1:0.97	1:0.97	1:0.99
	565	0:0.98	0:0.92	0:0.97	0:0.94	0:0.96	0:0.99	0:0.95	0:0.94	0:0.95	0:0.95	0:0.95	0:0.96	0:0.97	0:0.96	0:0.95
	577	0:1.00	0:0.99	0:0.98	0:0.98	0:0.99	1:0.98	0:1.00	0:0.99	0:1.00	0:0.95	1:0.96	0:0.99	0:0.96	0:0.98	0:0.99
	585	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.97	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
	592	0:0.97	1:0.95	1:0.89	1:0.98	1:0.86	1:0.98	1:0.98	1:0.98	1:0.98	1:0.98	1:0.97	1:0.98	1:0.98	1:0.97	1:0.99
	594	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.98	0:1.00	0:1.00	0:1.00	0:0.96	1:0.97	0:1.00	0:0.97	0:1.00	0:0.99
	598	0:0.97	1:0.96	1:0.89	1:0.98	1:0.87	1:0.99	1:0.97	1:0.99	1:0.98	1:0.98	1:0.98	1:0.98	1:0.98	1:0.99	1:0.99
