Contig:MEG_8139xxDrugsxxbetalactamsxxClass_B_betalactamasesxxGOB,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6
34	0:0.98	0:1.00	0:0.99	0:0.99	1:0.99	1:1.00	0:0.99
50	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	1:0.95
96	1:0.99	0:0.98	0:0.99	0:0.99	0:1.00	0:0.99	1:0.99
100	0:0.99	0:1.00	0:1.00	0:1.00	1:0.98	1:0.95	0:1.00
111	0:1.00	0:1.00	0:0.99	0:1.00	1:1.00	1:0.98	0:1.00
220	1:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.97	1:0.99
269	0:1.00	1:0.98	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99
324	0:0.99	0:0.99	0:0.99	0:0.99	1:0.96	1:0.95	0:1.00
328	0:0.99	0:0.99	0:0.99	0:0.99	1:0.87	1:0.80	0:0.99
359	1:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	1:0.99
374	0:1.00	1:0.98	0:0.99	0:0.99	1:0.98	1:0.97	0:0.99
396	0:0.97	0:0.95	0:0.95	0:0.95	1:0.91	1:0.86	0:0.94
399	0:0.99	0:0.99	0:0.99	0:0.99	1:0.99	1:0.98	0:0.99
494	0:1.00	0:1.00	0:0.99	0:1.00	1:0.98	1:1.00	0:0.99
497	0:1.00	0:0.99	0:1.00	0:1.00	1:0.97	1:1.00	0:0.99
519	0:1.00	1:0.96	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99
606	0:0.99	0:0.97	0:0.98	0:0.98	1:0.97	1:0.96	0:0.98
607	0:0.98	0:0.99	0:0.99	0:0.99	1:0.99	1:0.99	0:0.99
669	0:1.00	0:1.00	0:1.00	0:1.00	1:0.98	1:0.95	0:1.00
673	0:0.99	0:0.99	0:0.99	0:0.99	1:0.98	0:0.73	0:0.99
674	0:0.99	0:1.00	0:0.99	0:1.00	1:0.93	1:0.83	0:1.00
675	0:0.99	0:0.97	0:0.99	0:0.99	1:0.93	0:0.96	0:0.99
678	0:0.98	0:0.98	0:0.98	0:0.98	1:0.94	0:0.98	0:0.98
679	0:1.00	0:0.99	0:1.00	0:1.00	1:0.98	1:0.79	0:1.00
680	0:1.00	0:1.00	0:1.00	0:1.00	1:0.99	1:0.99	0:1.00
681	0:1.00	0:1.00	0:1.00	0:1.00	1:0.98	1:0.98	0:1.00
683	0:1.00	0:1.00	0:0.99	0:1.00	1:0.98	1:0.97	0:1.00
684	0:0.98	0:1.00	0:1.00	0:1.00	1:0.98	1:0.99	0:0.99
690	0:1.00	0:0.99	0:0.99	0:0.99	1:0.91	1:0.93	0:1.00
693	0:1.00	0:1.00	0:1.00	0:1.00	1:0.99	1:0.98	0:1.00
705	0:0.99	0:0.99	0:0.99	0:0.99	1:0.99	1:1.00	0:1.00
706	0:1.00	0:0.98	0:0.99	0:1.00	1:1.00	1:1.00	0:1.00
717	0:1.00	0:1.00	0:1.00	0:1.00	1:0.99	1:0.97	0:1.00
720	0:0.99	0:0.99	0:1.00	0:0.99	1:0.98	1:0.97	0:0.99
741	0:0.99	0:0.99	0:0.99	0:0.99	1:0.98	1:0.96	0:0.99
841	0:0.96	0:1.00	0:1.00	1:1.00	1:0.94	1:0.90	0:0.97
861	1:1.00	0:0.99	0:1.00	0:1.00	1:0.97	1:0.96	0:1.00
866	0:1.00	0:1.00	0:1.00	0:1.00	1:0.99	1:0.98	0:1.00
