Contig:MEG_2804xxDrugsxxMLSxx23S_rRNA_methyltransferasesxxERMB,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6
41	1:0.98	0:0.99	0:0.99	0:1.00	0:1.00	1:1.00	0:0.99
48	0:0.99	0:0.98	0:0.98	1:0.90	0:0.98	1:0.93	0:1.00
222	1:0.99	0:1.00	1:0.97	0:0.99	1:0.99	0:0.99	0:0.99
224	1:0.98	0:0.99	1:0.97	0:1.00	1:0.95	0:1.00	0:1.00
299	0:0.99	0:0.96	1:0.99	1:0.96	0:0.98	1:0.97	0:1.00
353	0:0.99	0:0.99	1:0.99	0:0.98	1:0.97	0:1.00	0:0.99
454	0:0.99	0:1.00	0:0.99	0:0.99	1:0.99	0:0.98	0:0.99
477	0:0.99	0:0.99	0:1.00	0:1.00	1:0.99	0:1.00	0:1.00
512	0:0.99	0:0.99	0:1.00	0:0.99	1:0.99	0:0.99	0:1.00
564	0:1.00	0:0.99	0:0.99	0:0.98	1:0.99	0:0.99	0:0.99
649	0:1.00	0:0.99	0:0.99	0:0.99	1:1.00	0:1.00	0:0.99
664	0:0.99	0:0.97	0:0.99	0:0.97	1:0.93	0:0.97	0:0.98
676	0:1.00	1:1.00	1:0.99	0:0.99	0:0.99	0:0.99	0:1.00
