Contig:GCF_900128535_000000000015,Range:25000-28000	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11	Haplotype:12	Haplotype:13	Haplotype:14	Haplotype:15	Haplotype:16
25	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
32	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
34	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
37	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
39	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
42	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
45	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
49	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
53	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
54	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
61	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
76	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
106	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
108	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
115	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
119	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
123	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
133	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
152	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
154	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
159	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
160	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
165	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
175	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
178	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
183	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
184	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
187	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
190	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
195	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
196	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
205	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
209	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
211	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
220	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
222	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
225	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
230	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
232	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
233	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
241	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
245	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
246	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
249	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
253	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
271	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
280	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
299	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
303	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
311	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
312	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
322	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
323	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
336	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
338	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
339	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
342	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
343	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
352	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
354	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
355	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
357	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
373	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
396	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
397	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
401	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
406	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
453	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
460	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
679	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
682	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
721	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
847	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
862	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
883	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
982	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1000	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1084	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1093	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1501	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1514	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1526	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1527	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1601	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1616	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1628	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1667	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1670	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1676	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1702	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1714	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1762	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1763	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1893	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1943	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1951	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1997	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2007	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2046	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2167	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2169	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2170	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2173	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2175	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2181	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2185	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2190	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
