Contig:MEG_4541xxDrugsxxbetalactamsxxClass_D_betalactamasesxxOXA,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10
48	0:1.00	0:1.00	1:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99
50	0:1.00	0:0.99	1:0.98	1:0.98	0:0.99	0:0.99	0:1.00	0:1.00	1:0.98	0:1.00	0:1.00
65	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	1:0.96	0:0.99	0:1.00	0:0.99
129	1:0.98	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	0:0.98	0:1.00	0:1.00	0:0.98	0:0.97
216	0:0.99	1:0.97	0:1.00	0:0.98	0:0.99	0:0.99	0:0.96	0:1.00	0:0.99	0:0.99	0:0.97
312	1:0.99	1:0.99	1:0.99	1:0.98	0:1.00	1:0.99	1:0.98	1:0.99	1:0.99	1:0.98	1:1.00
396	0:1.00	0:0.99	1:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:0.98	0:0.97
405	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	1:0.99	0:0.99	0:1.00	1:1.00	0:1.00
417	0:1.00	1:0.98	0:1.00	0:0.98	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.96
426	0:0.99	1:0.93	1:0.94	1:0.90	0:0.99	1:0.93	1:0.90	1:0.93	1:0.94	1:0.89	1:0.91
444	0:1.00	1:0.98	0:0.99	1:0.99	0:1.00	0:0.99	0:0.99	1:0.98	0:0.99	0:0.98	0:1.00
471	1:0.98	0:0.99	0:0.99	0:0.97	0:1.00	0:0.99	0:0.98	0:0.98	0:0.99	0:0.99	0:1.00
518	0:1.00	1:0.92	0:0.99	0:0.99	0:0.99	0:0.99	0:0.97	0:0.99	0:0.99	0:0.99	0:1.00
520	1:0.96	1:0.92	1:0.98	1:0.98	0:0.99	0:0.99	1:0.99	1:0.98	1:0.96	1:0.99	1:0.99
528	0:1.00	1:0.99	1:0.98	1:1.00	0:0.99	0:0.99	1:0.99	1:0.99	1:0.97	1:1.00	0:1.00
555	0:0.99	0:0.99	1:0.96	0:0.97	0:0.99	0:1.00	0:0.98	0:0.99	0:0.99	0:0.96	1:0.93
564	0:1.00	1:0.99	0:0.99	1:0.98	0:0.99	0:1.00	1:0.99	1:0.98	1:0.97	0:1.00	1:0.98
567	0:1.00	1:0.97	1:0.99	1:0.97	0:0.99	0:0.99	1:0.98	1:0.97	1:0.97	1:0.99	1:0.98
570	0:1.00	1:0.99	0:0.99	1:0.99	0:0.99	0:0.99	1:0.99	1:0.98	1:0.98	1:0.97	1:0.97
584	0:1.00	1:0.99	0:1.00	0:0.99	0:1.00	0:1.00	1:0.96	1:0.99	0:1.00	0:1.00	1:1.00
618	0:1.00	0:0.99	1:0.99	0:0.97	0:0.99	0:0.99	0:0.97	0:1.00	1:0.98	0:0.99	1:0.99
675	0:0.99	0:0.99	1:0.98	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00
693	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	1:0.98	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00
711	1:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.98	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00
738	1:0.98	0:1.00	0:1.00	1:0.98	0:0.99	1:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00
752	1:0.98	1:0.98	0:1.00	1:0.97	0:0.99	1:0.98	1:0.97	0:0.99	0:0.99	1:0.97	0:1.00
754	0:0.99	0:0.99	1:0.97	0:1.00	0:1.00	0:1.00	0:1.00	0:0.98	0:1.00	0:1.00	0:0.99
766	0:0.99	0:0.99	0:0.99	1:0.94	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.98	0:1.00
810	0:0.99	0:1.00	0:1.00	1:0.97	0:0.99	0:1.00	0:0.98	0:1.00	0:0.99	0:0.96	0:0.99
