Contig:MEG_4255xxDrugsxxbetalactamsxxClass_A_betalactamasesxxOKP,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11	Haplotype:12
10	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	1:1.00	0:1.00
37	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.98	0:0.99	0:0.99	0:0.99	0:1.00	0:0.98	0:1.00	0:1.00
100	1:0.97	0:1.00	0:0.99	1:0.96	0:0.99	0:0.99	0:1.00	1:0.96	1:0.95	0:1.00	0:0.98	0:1.00	1:0.96
127	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	1:0.98	0:0.99	0:1.00
163	0:0.97	0:0.98	0:0.98	0:0.98	0:0.98	1:0.96	0:0.98	0:0.98	0:0.98	0:0.99	0:0.99	0:0.97	0:0.98
273	0:0.99	0:0.97	0:0.97	0:0.98	0:0.97	1:0.98	0:0.98	0:0.96	0:0.97	0:0.98	0:0.97	0:0.97	0:0.96
309	0:1.00	0:0.99	1:0.97	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	1:0.98
386	1:0.97	0:0.99	0:1.00	0:1.00	1:0.99	0:1.00	0:1.00	0:0.99	0:1.00	1:0.99	0:1.00	0:0.99	0:1.00
410	1:0.99	0:1.00	0:1.00	1:0.99	1:0.99	1:0.99	0:1.00	0:1.00	1:1.00	1:0.97	0:1.00	1:0.99	0:1.00
423	0:0.98	0:0.98	0:0.98	1:0.95	0:0.97	1:0.96	0:0.98	0:0.98	1:0.95	0:1.00	1:0.96	0:0.97	0:0.98
438	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.93	0:0.99	0:0.99	0:0.99
442	0:0.97	0:0.98	0:0.98	0:0.98	0:0.99	0:0.98	0:0.98	0:0.97	0:0.99	1:0.99	0:0.98	0:0.97	0:0.98
471	1:0.99	0:1.00	0:1.00	1:0.98	1:0.98	0:1.00	0:1.00	0:1.00	1:1.00	1:0.99	1:0.97	1:0.99	0:1.00
495	0:0.94	0:0.93	0:0.94	0:0.94	0:0.93	0:0.93	0:0.92	0:0.92	0:0.95	2:0.96	0:0.94	0:0.94	0:0.93
543	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	1:0.99	0:0.99	0:0.99	0:1.00
563	0:1.00	0:0.98	0:0.99	0:0.98	1:0.98	0:0.98	0:0.99	0:0.99	0:0.98	0:0.98	1:0.97	0:0.99	0:1.00
565	1:1.00	1:0.97	0:0.99	1:0.98	1:0.98	1:0.99	0:1.00	1:0.98	1:0.99	1:0.99	1:0.99	1:0.98	0:1.00
594	0:1.00	0:1.00	0:0.99	1:0.98	0:1.00	0:1.00	0:1.00	0:1.00	1:0.97	0:1.00	0:1.00	0:1.00	0:1.00
624	1:0.99	0:1.00	0:1.00	1:0.98	0:1.00	0:1.00	0:1.00	0:1.00	1:0.99	1:0.98	0:1.00	1:0.99	0:1.00
632	0:0.99	0:1.00	0:0.98	0:0.99	0:0.98	0:0.95	0:0.98	0:0.98	1:0.98	0:1.00	0:0.99	0:0.98	0:0.99
633	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	1:0.97	0:0.99	0:0.99	0:0.95	0:1.00	0:1.00	0:0.99	0:0.99
741	0:0.99	0:0.99	1:0.98	0:0.98	0:0.99	0:0.98	0:0.98	0:0.99	0:0.98	0:1.00	0:0.99	0:0.99	0:0.99
777	0:0.99	1:0.97	1:0.98	0:0.99	1:0.98	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99
780	0:0.99	1:0.99	1:0.99	1:0.99	1:1.00	0:1.00	0:1.00	0:1.00	1:0.98	0:0.98	1:1.00	0:1.00	1:1.00
787	0:0.99	1:0.97	1:0.97	1:0.97	1:0.96	0:0.99	0:0.99	0:0.99	1:0.96	0:1.00	1:0.97	0:0.99	1:0.99
789	0:0.98	0:0.98	0:0.97	1:0.98	0:0.98	0:0.98	0:0.98	0:0.98	1:0.99	0:0.99	0:0.96	0:0.99	0:0.97
799	0:1.00	1:0.98	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00
800	0:0.99	1:0.99	1:0.99	1:1.00	1:0.98	0:0.99	0:0.99	0:1.00	1:0.99	0:0.99	0:0.99	0:1.00	1:0.99
804	0:1.00	1:0.99	1:0.99	1:0.99	1:0.99	0:1.00	0:0.99	0:0.99	1:0.99	0:1.00	0:0.99	0:0.99	1:0.98
846	0:0.99	0:0.99	0:0.99	1:0.98	0:0.99	1:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00
855	0:0.99	0:1.00	1:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.99	1:0.98	0:1.00	0:0.99	0:1.00
