Contig:MEG_869xxDrugsxxAminoglycosidesxxAminoglycoside_OxxnucleotidyltransferasesxxANT3xxDPRIME,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6
35	0:0.99	0:0.99	0:0.99	1:0.98	0:1.00	0:0.99	0:0.99
151	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	1:0.98
159	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	1:0.98
163	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	1:0.97
170	0:0.98	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	1:0.94
183	0:1.00	0:0.98	0:0.99	0:0.99	0:0.99	0:1.00	1:0.99
191	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	1:0.98
195	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	1:0.99
199	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	1:0.98
204	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	1:0.99
206	1:0.97	1:0.90	1:0.96	1:0.97	1:0.98	1:0.97	1:0.97
211	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.99
214	0:0.99	0:0.91	0:0.99	0:0.99	0:0.98	0:0.98	0:0.96
216	0:1.00	0:0.99	0:1.00	0:0.98	0:0.99	0:0.99	1:1.00
217	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	1:0.99
227	0:0.99	0:0.99	0:0.99	0:0.98	0:0.99	0:0.99	1:0.91
256	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	1:0.98
261	0:0.99	0:0.99	0:1.00	1:0.96	0:0.99	0:1.00	0:0.98
268	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	1:0.95
291	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	1:0.98
306	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	1:0.97
316	0:1.00	0:0.99	0:0.99	0:0.99	1:0.98	0:1.00	0:0.98
318	0:0.99	0:0.99	0:1.00	0:0.99	0:0.98	0:1.00	1:0.98
320	0:0.99	0:0.99	0:1.00	1:0.98	0:0.99	0:0.99	0:1.00
370	1:0.97	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99
377	1:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00
448	0:0.99	0:0.92	0:0.98	0:0.99	0:0.98	0:0.99	0:0.99
496	1:0.97	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:0.98
569	0:0.99	0:0.99	0:0.99	0:0.99	1:0.94	0:0.99	0:1.00
595	0:0.99	0:1.00	1:0.92	0:0.99	0:0.99	0:1.00	0:1.00
617	0:1.00	0:0.92	0:0.99	0:0.99	0:1.00	0:0.99	0:0.98
620	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	1:1.00	0:0.99
682	0:1.00	0:0.99	0:0.99	0:0.99	1:0.97	0:0.99	0:1.00
695	0:1.00	0:1.00	1:0.94	0:0.99	0:0.99	0:0.99	0:0.99
712	1:0.98	0:0.97	0:0.99	0:1.00	0:0.99	0:0.99	0:0.98
779	0:1.00	0:0.83	0:0.98	0:1.00	0:0.99	0:0.99	0:0.98
783	0:1.00	0:0.86	0:0.98	0:1.00	0:1.00	0:0.99	0:1.00
786	0:1.00	0:0.86	0:0.98	0:1.00	0:1.00	0:0.99	0:1.00
