Contig:MEG_2274xxDrugsxxbetalactamsxxClass_A_betalactamasesxxCTX,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7
61	0:0.99	1:0.98	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99
136	1:0.94	1:0.91	1:0.92	1:0.91	1:0.93	1:0.91	0:1.00	1:0.91
151	1:0.98	1:0.97	1:0.99	1:0.99	1:1.00	1:0.99	0:0.99	1:0.99
180	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	1:1.00	0:1.00	0:1.00
286	0:0.99	0:0.96	0:0.94	0:0.95	0:0.97	0:0.95	0:0.95	0:0.96
375	0:0.98	0:0.95	0:0.95	0:0.95	0:0.94	0:0.96	0:0.95	0:0.97
446	0:0.99	0:0.97	0:1.00	0:0.96	0:0.97	0:1.00	0:0.97	1:1.00
508	0:1.00	0:1.00	0:1.00	1:0.99	0:1.00	0:1.00	0:1.00	0:1.00
644	0:1.00	0:1.00	0:0.99	0:0.99	1:1.00	0:1.00	0:0.99	0:1.00
710	1:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.98	0:0.99
725	1:0.78	0:1.00	0:0.99	0:1.00	1:0.97	0:1.00	0:0.99	0:0.99
810	0:1.00	0:0.99	0:0.99	1:0.97	0:0.99	0:0.99	0:1.00	0:0.99
825	0:0.99	0:1.00	1:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
865	0:0.99	1:0.95	0:0.96	0:0.95	0:0.95	0:0.96	0:0.96	0:0.97
867	0:0.99	1:0.79	0:0.99	0:0.99	0:0.99	0:0.98	0:0.99	0:1.00
