Contig:MEG_4529xxDrugsxxbetalactamsxxClass_D_betalactamasesxxOXA,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3
6	0:1.00	1:0.98	1:0.98	1:1.00
15	0:0.99	1:0.99	0:0.99	0:1.00
54	0:0.99	0:0.98	1:0.98	0:0.99
73	0:1.00	0:0.99	0:0.99	1:0.98
106	0:0.99	1:0.97	1:0.96	1:0.95
107	0:1.00	0:0.90	0:0.90	0:0.91
159	0:1.00	1:0.96	0:0.99	0:1.00
163	0:1.00	1:0.97	1:0.96	1:0.98
176	0:0.99	1:0.98	1:0.99	1:0.99
306	0:1.00	1:0.95	0:0.99	0:0.99
315	0:0.99	0:1.00	1:0.98	1:0.98
318	0:1.00	0:0.99	1:0.96	1:0.94
319	0:0.99	0:0.99	1:0.82	1:0.81
328	0:0.99	0:1.00	0:0.99	1:0.99
349	0:0.99	0:0.99	1:0.95	0:0.99
366	0:0.99	0:1.00	1:0.99	1:0.99
369	0:0.99	0:0.99	0:1.00	1:0.99
390	0:1.00	0:0.99	0:1.00	1:0.99
420	0:1.00	1:0.99	0:0.99	0:0.99
426	0:1.00	0:0.99	0:1.00	1:0.97
438	0:1.00	0:1.00	1:0.98	0:1.00
466	0:1.00	0:0.99	0:1.00	1:0.98
522	0:1.00	1:0.98	1:0.99	1:1.00
528	0:0.99	1:0.99	0:1.00	0:0.99
540	0:0.99	0:0.99	1:0.96	1:0.98
610	0:0.99	1:0.99	0:1.00	1:0.94
673	0:0.99	1:0.99	0:1.00	0:0.98
720	0:0.99	1:0.98	0:1.00	1:0.96
732	0:0.99	0:0.99	1:0.98	0:0.99
762	0:1.00	1:0.99	1:0.98	1:0.99
766	0:0.99	1:0.98	0:0.99	0:0.99
797	0:1.00	1:0.96	0:1.00	0:1.00
801	0:1.00	1:0.99	1:0.98	1:0.99
809	0:1.00	1:0.98	1:0.99	1:1.00
