Contig:MEG_4255xxDrugsxxbetalactamsxxClass_A_betalactamasesxxOKP,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11	Haplotype:12
10	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.99
37	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00
100	1:0.97	0:1.00	1:0.97	0:0.99	0:0.98	0:0.99	0:0.99	0:1.00	1:0.97	1:0.98	0:1.00	1:0.97	0:0.99
127	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	1:0.99	0:0.98	0:1.00
155	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.98	0:0.98	0:0.98	0:0.98	0:1.00	0:0.98	1:0.98	0:0.99
163	0:0.98	0:0.98	0:0.98	0:1.00	0:0.99	1:0.95	0:0.97	0:0.98	0:0.98	0:0.95	0:0.97	0:0.97	0:0.98
273	0:0.97	0:0.98	0:0.97	0:0.98	0:0.98	1:0.98	0:0.96	0:0.97	0:0.97	0:0.98	0:0.97	0:0.97	0:0.98
309	0:1.00	1:0.97	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.98	0:0.99
386	0:1.00	0:1.00	0:1.00	1:0.96	1:0.99	0:1.00	0:1.00	0:1.00	0:1.00	1:0.99	0:0.99	0:1.00	0:1.00
410	1:1.00	0:1.00	0:1.00	1:0.98	1:0.99	1:0.99	0:1.00	0:1.00	1:1.00	1:0.99	0:1.00	0:1.00	1:0.99
423	1:0.95	0:0.98	0:0.99	0:0.99	0:0.99	1:0.97	0:0.98	0:0.97	1:0.96	0:0.98	1:0.96	0:0.98	0:0.98
438	0:0.99	0:0.99	0:0.99	1:0.93	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99
442	0:0.99	0:0.98	0:0.98	1:0.97	0:0.98	0:0.99	0:0.97	0:0.98	0:0.99	0:0.99	0:0.97	0:0.98	0:0.98
471	1:0.99	0:1.00	0:1.00	1:0.98	1:0.98	0:1.00	0:1.00	0:1.00	1:0.99	1:1.00	1:0.97	0:1.00	1:1.00
543	0:0.99	0:0.99	0:0.99	1:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99
563	0:0.99	0:0.99	0:0.98	0:0.99	1:0.98	0:0.98	0:0.99	0:0.99	0:0.99	0:0.97	1:0.96	0:0.98	0:0.98
565	1:0.99	0:0.99	1:0.97	1:0.98	1:0.98	1:0.99	1:0.98	0:1.00	1:0.97	1:0.98	1:0.98	0:1.00	1:0.98
594	1:0.97	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.98	0:1.00	0:0.99	0:1.00	0:1.00
624	1:0.99	0:0.99	0:1.00	1:0.99	0:1.00	0:0.99	0:1.00	0:1.00	1:0.99	1:1.00	0:1.00	0:1.00	1:1.00
632	1:0.99	0:0.98	0:0.98	0:1.00	0:0.98	0:0.96	0:0.98	0:0.98	0:0.98	0:0.98	0:0.97	0:0.99	0:0.99
633	0:0.98	0:1.00	0:0.99	0:1.00	0:1.00	1:0.98	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00
741	0:0.98	1:0.97	0:0.98	0:1.00	0:0.99	0:0.99	0:0.99	0:0.98	0:0.98	0:0.98	0:0.98	0:0.99	0:0.98
777	0:0.99	1:0.98	0:0.99	0:1.00	1:0.97	0:1.00	1:0.98	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00
780	1:0.98	1:0.99	0:1.00	0:1.00	1:0.99	0:1.00	1:0.99	0:1.00	1:0.99	0:1.00	1:0.98	1:0.99	0:1.00
787	1:0.97	1:0.97	0:1.00	0:1.00	1:0.98	0:0.99	1:0.96	0:1.00	1:0.97	0:0.99	1:0.98	1:0.98	0:1.00
789	1:0.98	0:0.98	0:0.98	0:1.00	0:0.97	0:0.98	0:0.99	0:0.99	1:0.97	0:0.98	0:0.98	0:0.98	0:0.98
799	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00
800	1:1.00	1:0.99	0:1.00	0:1.00	1:0.99	0:1.00	1:0.99	0:1.00	1:1.00	0:1.00	0:1.00	1:0.98	0:0.99
804	1:0.99	1:0.99	0:1.00	0:1.00	1:0.99	0:1.00	1:0.99	0:0.99	1:0.99	0:0.99	0:1.00	1:1.00	0:0.99
846	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	1:0.98	0:0.99	0:0.99	1:0.98	0:1.00	0:0.98	0:1.00	0:1.00
855	1:0.99	1:0.99	0:1.00	1:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99
